Taxon,Genus,Species,CommonName,ThermoStrat,MeanMassG,MeanMR,MeanMRUnits,Temperature,Citation,Notes
Amphibian,Ambystoma,opacum,MarbledSalamander,ectotherm,5.225,0.27525,ml/h,14.5,White et al. 2012,
Amphibian,Amphiuma,means,TwoToedAmphiuma.salamander,ectotherm,463.5,7.744214286,ml/h,17.96428571,White et al. 2012,
Amphibian,Bufo,bufo,CommonToad,ectotherm,46.12888889,4.370888889,ml/h,16.55555556,White et al. 2012,
Amphibian,Dicamptodon,ensatus,GiantCaliforniaSalamander,ectotherm,62.625,1.02745,ml/h,15,White et al. 2012,
Amphibian,Hyla,arborea,EuropeanTreeFrog,ectotherm,7.78,2.4429,ml/h,18.5,White et al. 2012,
Amphibian,Notophthalmus,viridescens,EasternNewt,ectotherm,1.763333333,0.125166667,ml/h,16.66666667,White et al. 2012,
Amphibian,Rana,temporaria,CommonFrog,ectotherm,36.7245,2.670865,ml/h,16.995,White et al. 2012,
Amphibian,RanaA,arvalis,MoorFrog,ectotherm,17,3.058866667,ml/h,17.5,White et al. 2012,
Amphibian,Rhyacotriton,olympicus,OlympicTorrentSalamander,ectotherm,2.6,0.2496,ml/h,15,White et al. 2012,
Amphibian,Taricha,granulosa,RoughSkinnedNewt,ectotherm,10.45461538,0.760353846,ml/h,14.61538462,White et al. 2012,
Bird,Anas,platyrhynchos,MallardDuck,endotherm,1020,728.6,ml/h,41.3,McKechnie and Wolf 2004; Gillooly et al 2016,
Bird,Dromaius,novaehollandiae,Emu,endotherm,38300,8991.04,ml/h,38.1,Crawford and Lasiewski 1968; Gillooly et al 2016,
Bird,Gallus,gallus,Chicken,endotherm,2710,1075.52,ml/h,40.1,McKechnie and Wolf 2004; Gillooly et al 2016,
Bird,Larus,argentatus,HerringGull,endotherm,1000,860.4179104,ml/h,42,White et al. 2012; Gillooly et al 2016,
Bird,Spheniscus,humboldti,ChileanPenguin,endotherm,3870,1699.966833,ml/h,39,White et al. 2012; Gillooly et al 2016,
Bird,Struthio,camelus,CommonOstrich,endotherm,100000,27223.88,ml/h,20,Withers 1983; Gillooly et al 2016,
Chondrichthyan,Carcharhinus,plumbeus,SandbarShark,ectotherm,4413.030303,372.0212121,mg/h,24,Dowd et al. 2006,
Chondrichthyan,Carcharodon,carcharias,White Shark,ectotherm,2967.5,248.8475,mg/kg/h,17.065,Ezcurra et al. 2012,
Chondrichthyan,Dasyatis,sabina,Atlantic Stingry,ectotherm,491.4,28.69,ml/h,22.86,White et al. 2012,
Chondrichthyan,Isurus,oxyrinchus,Shortfin Mako,ectotherm,6088.89,318.4,mg/kg/h,18.38,Sepulveda et al. 2007,
Chondrichthyan,Rhinoptera,bonasus,Cownose Ray,ectotherm,2376.315789,162.7842105,mg/kg/h,26,Neer 2005,
Chondrichthyan,Scyliorhinus,canicula,Lesser Spotted Dogfish,ectotherm,747.68,20.99,ml/h,12.73,White et al. 2012,
Chondrichthyan,ScyliorhinusA,stellaris,Nursehound,ectotherm,2260.71,35.69,ml/h,17.11,White et al. 2012,
Chondrichthyan,Torpedo,marmorata,Marbeled Electric Ray,ectotherm,1517,30.06,ml/h,16,White et al. 2012,
Mammal,Bos,taurus,Cow ,endotherm,347000,54943.88,ml/h,38.4,Savage et al. 2004; Gillooly et al 2016,
Mammal,Camelus,dromedarius,Camel,endotherm,407000,40259.1,ml/h,37.2,Savage et al. 2004; Gillooly et al 2016,
Mammal,Cavia,porcellus,GuineaPig,endotherm,629,346,ml/h,39,White et al. 2006; Gillooly et al 2016,
Mammal,Connochaetes,taurinus,BlueWildebeest,endotherm,196500,41207.1,ml/h,38,Savage et al. 2004;Gillooly et al 2016,
Mammal,Cynopterus,brachyotis,FruitBat,endotherm,37,47.5,ml/h,36.5,White et al. 2012; Gillooly et al 2016,
Mammal,Dasyuroides,byrnei,KowariRat,endotherm,92,71.7,ml/h,27.02777778,Gillooly et al 2016,
Mammal,Equus,caballus,Horse,endotherm,260000,65000,ml/h,37.4,Elgar and Harvey 1987; Gillooly et al 2016,
Mammal,Homo,sapiens,Human,endotherm,70000,14700,ml/h,36.8,Elgar and Harvey 1987; Gillooly et al 2016,
Mammal,Madoqua,kirkii,DikDikAntelope,endotherm,4290,2143.88,ml/h,39,Savage et al. 2004; Gillooly et al 2016,
Mammal,Mus,musculus,Mouse,endotherm,45.5,29.575,ml/h,19,White et al. 2012,
Mammal,Oryctolagus,cuniculus,Rabbit,endotherm,2350,1540.3,ml/h,39,Savage et al. 2004; Gillooly et al 2016,
Mammal,Phyllotis,darwini,DarwinsMouse,endotherm,59,71.39,ml/h,36.2,White et al. 2012; Gillooly et al 2016,
Mammal,Pipistrellus,pipistrellus,Bat,endotherm,4.9,7.6,ml/h,35.4,Genoud & Christe 2011; value in White et al 2012 may be outlier,
Mammal,Setonix,brachyurus,Quokka,endotherm,2940,881.19,ml/h,36.3,Savage et al. 2004; Gillooly et al 2016,
Mammal,Sorex,minutus,PygmyShew,endotherm,5,32.24,ml/h,38.5,Savage et al. 2004; Gillooly et al 2016,
Mammal,Suncus,etruscus,Shrew,endotherm,3,8.96,ml/h,14,Gillooly et al 2016,
Mammal,Taurotragus,oryx,ElandAntelope,endotherm,150000,35969.55,ml/h,39.1,Savage et al. 2004; Gillooly et al 2016,
Mammal,Vulpes,lagopus,ArcticFox,endotherm,3600,1374,ml/h,38.6,White et al. 2012; Gillooly et al 2016,
Reptile,Gekko,gecko,TokayGecko,ectotherm,61.5,5.9286,ml/h,30,White et al. 2012; Gillooly et al 2016,
Reptile,Python,regius,BallPython,ectotherm,831,28.44,ml/h,27,Gillooly et al 2016,
Reptile,Trachemys,scripta,PondSlider.turtle,ectotherm,305,10.362375,ml/h,25,White et al. 2012,
Reptile,Varanus,exanthematicus,SavannahMonitorLizard,ectotherm,3836,3864.196648,ml/h,30,White et al. 2012,
Teleost,Ameiurus,nebulosus,BrownBullheadCatfish,ectotherm,96.8,5.39097,ml/h,22.85714286,White et al. 2012,
Teleost,Anabas,testudineus,ClimbingPerch,ectotherm,40.2,56.62,ml/kg/h,25,Hughes & Singh 1970,
Teleost,Anguilla,anguilla,EuropeanEel,ectotherm,80,4.176941176,ml/h,25,White et al. 2012,
Teleost,AnguillaA,rostrata,AmericanEel,ectotherm,264.5,4.4,ml/h,15,White et al. 2012,
Teleost,Bagre,cavasius,GangeticCatfish,ectotherm,30.41176471,5.090564706,ml/h,29,White et al. 2012,
Teleost,Balistes,capriscus,GreyTriggerfish,ectotherm,471.6666667,67.2,ml/kg/h,17.7666667,Hughes 1967,
Teleost,Brevoortia,tyrannus,Menhaden,ectotherm,21.73,0.198,mg/g/h,15,Hettler 1976,
Teleost,Callionymus,lyra,Dragonet,ectotherm,101.71,4.62,ml/h,11.5,White et al. 2012,
Teleost,Carassius,auratus,Goldfish,ectotherm,7.944507042,1.500905244,mg/h,20,Zeng et al. 2017,
Teleost,Catostomus,commersonii,WhiteSucker,ectotherm,92.125,4.6020625,ml/h,15,White et al. 2012,
Teleost,Centropristis,striata,BlackSeaBass,ectotherm,84,8.4,mg/h,25,Hoss 1978,
