Taxon,Genus,Species,LungsGills,MeanMassG,MeanRSA,MeanRSAUnits,SampleSize,ReferenceforRSA,Notes
Amphibian,Ambystoma,opacum,lungs,7,39.74,cm2,,Czopek 1962 in Gillooly et al 2016,
Amphibian,Amphiuma,means,lungs,549,1893.25,cm2,,Czopek 1962 in Gillooly et al 2016,
Amphibian,Bufo,bufo,lungs,30,470,cm2,,Szarski 1964 in Gillooly et al 2016,
Amphibian,Dicamptodon,ensatus,lungs,76,327.71,cm2,,Czopek 1962 in Gillooly et al 2016,
Amphibian,Hyla,arborea,lungs,9,140,cm2,,Szarski 1964 in Gillooly et al 2016,
Amphibian,Notophthalmus,viridescens,lungs,1,10.83,cm2,,Czopek 1962 in Gillooly et al 2016,
Amphibian,Rana,temporaria,lungs,37,260,cm2,,Szarski 1964 in Gillooly et al 2016,
Amphibian,RanaA,arvalis,lungs,17,161.24,cm2,,Szarski 1964 in Gillooly et al 2016,
Amphibian,Rhyacotriton,olympicus,lungs,3,11.37,cm2,,Czopek 1962 in Gillooly et al 2016,
Amphibian,Taricha,granulosa,lungs,14,80.29,cm2,,Czopek 1962 in Gillooly et al 2016,
Bird,Anas,platyrhynchos,lungs,1040,29700,cm2,,Maina et al. 1989 in Gillooly et al 2016,
Bird,Dromaius,novaehollandiae,lungs,30000,162800,cm2,,Maina and West 2005 in Gillooly et al 2016,
Bird,Gallus,gallus,lungs,2141,20800,cm2,,Maina et al. 1989 in Gillooly et al 2016,
Bird,Larus,argentatus,lungs,654,14600,cm2,,Maina et al. 1989 in Gillooly et al 2016,
Bird,Spheniscus,humboldti,lungs,4500,81450,cm2,,Maina and West 2005 in Gillooly et al 2016,
Bird,Struthio,camelus,lungs,40000,1204000,cm2,,Maina and West 2005 in Gillooly et al 2016,
Chondrichthyan,Carcharhinus,plumbeus,gills,31943.75,6627319.938,mm2,16,Hata1993,method C to be comparable with Hughes method
Chondrichthyan,Carcharodon,carcharias,gills,345855.7,692108.3,cm2,13,Emery and Sczcepanski 1985,from data thief (raw data not published)
Chondrichthyan,Dasyatis,sabina,gills,532.463514,156725.396,mm2,5,Grim et al. 2012,from data thief (raw data not published)
Chondrichthyan,Isurus,oxyrinchus,gills,68050.06,204953.92,cm2,10,Emery and Sczcepanski 1985,from data thief (raw data not published)
Chondrichthyan,Rhinoptera,bonasus,gills,5915.0718,1745745.55,mm2,4,Grim et al. 2012,from data thief (raw data not published)
Chondrichthyan,Scyliorhinus,canicula,gills,524.6932857,1085.617429,cm2,7,Hughes 1972,from data thief (raw data not published)
Chondrichthyan,ScyliorhinusA,stellaris,gills,1253.833333,1602.416667,cm2,12,Hughes et al. 1986,
Chondrichthyan,Torpedo,marmorata,gills,1768.354753,112934.1068,mm2,17,Hughes 1978,from data thief (raw data not published)
Mammal,Bos,taurus,lungs,700000,12105000,cm2,,Gehr et al. 1981 in Gillooly et al 2016,
Mammal,Camelus,dromedarius,lungs,231700,2725000,cm2,,Gehr et al. 1981 in Gillooly et al 2016,
Mammal,Cavia,porcellus,lungs,429,9100,cm2,,Forrest and Weibel 1975 in Gillooly et al 2016,
Mammal,Connochaetes,taurinus,lungs,102000,2813000,cm2,,Gehr et al. 1981 in Gillooly et al 2016,
Mammal,Cynopterus,brachyotis,lungs,37,1070,cm2,,Main and King 1984 in Gillooly et al 2016,
Mammal,Dasyuroides,byrnei,lungs,120,3300,cm2,,Hallam et al. 1989 in Gillooly et al 2016,
Mammal,Equus,caballus,lungs,510000,16630000,cm2,,Gehr et al. 1981 in Gillooly et al 2016,
Mammal,Homo,sapiens,lungs,74000,1259000,cm2,,Gehr et al. 1981 in Gillooly et al 2016,
Mammal,Madoqua,kirkii,lungs,4200,130000,cm2,,Gehr et al. 1981 in Gillooly et al 2016,
Mammal,Mus,musculus,lungs,23,640,cm2,,Maina et al. 1989 in Gillooly et al 2016,
Mammal,Oryctolagus,cuniculus,lungs,3560,52800,cm2,,Maina et al. 1989 in Gillooly et al 2016,
Mammal,Phyllotis,darwini,lungs,41,1597,cm2,,Canals et al. 2009 in Gillooly et al 2016,
Mammal,Pipistrellus,pipistrellus,lungs,5,320,cm2,,Main and King 1984 in Gillooly et al 2016,
Mammal,Setonix,brachyurus,lungs,3430,62500,cm2,,Burri et al. 2013 in Gillooly et al 2016,
Mammal,Sorex,minutus,lungs,3,170,cm2,,Maina et al. 1989 in Gillooly et al 2016,
